,exp_name,env_name,seed,metric,env_step,value
99,xqc,dog-stand,9,avg_return,0.0,18.906210699782033
100,xqc,dog-stand,9,avg_return,100000.0,806.41653504887
101,xqc,dog-stand,9,avg_return,200000.0,903.3201666753264
102,xqc,dog-stand,9,avg_return,300000.0,968.2011064456748
103,xqc,dog-stand,9,avg_return,400000.0,957.6660936634668
104,xqc,dog-stand,9,avg_return,500000.0,977.8012666827397
105,xqc,dog-stand,9,avg_return,600000.0,973.3018319103844
106,xqc,dog-stand,9,avg_return,700000.0,983.432852211116
107,xqc,dog-stand,9,avg_return,800000.0,984.4871613216072
108,xqc,dog-stand,9,avg_return,900000.0,989.4226852454556
109,xqc,dog-stand,9,avg_return,1000000.0,987.7484688010956
110,xqc,dog-walk,0,avg_return,0.0,8.714086252510603
111,xqc,dog-walk,0,avg_return,100000.0,218.36247403319
112,xqc,dog-walk,0,avg_return,200000.0,526.2462542848778
113,xqc,dog-walk,0,avg_return,300000.0,815.9669453082373
114,xqc,dog-walk,0,avg_return,400000.0,878.8908091073488
115,xqc,dog-walk,0,avg_return,500000.0,918.2702586052326
116,xqc,dog-walk,0,avg_return,600000.0,934.7131455968224
117,xqc,dog-walk,0,avg_return,700000.0,930.41372778123
118,xqc,dog-walk,0,avg_return,800000.0,952.5943589486404
119,xqc,dog-walk,0,avg_return,900000.0,952.7069517260225
120,xqc,dog-walk,0,avg_return,1000000.0,951.2052942015569
121,xqc,dog-walk,1,avg_return,0.0,7.499859221118761
122,xqc,dog-walk,1,avg_return,100000.0,234.1852557881648
123,xqc,dog-walk,1,avg_return,200000.0,494.1398307096282
124,xqc,dog-walk,1,avg_return,300000.0,786.467435402506
125,xqc,dog-walk,1,avg_return,400000.0,898.8015442826506
126,xqc,dog-walk,1,avg_return,500000.0,925.7702390521569
127,xqc,dog-walk,1,avg_return,600000.0,929.4807349952964
128,xqc,dog-walk,1,avg_return,700000.0,926.7799659334432
129,xqc,dog-walk,1,avg_return,800000.0,945.0054849660032
130,xqc,dog-walk,1,avg_return,900000.0,936.174113554916
131,xqc,dog-walk,1,avg_return,1000000.0,948.4212587614433
132,xqc,dog-walk,2,avg_return,0.0,8.656645311900675
133,xqc,dog-walk,2,avg_return,100000.0,207.93196458874445
134,xqc,dog-walk,2,avg_return,200000.0,447.8763154800149
135,xqc,dog-walk,2,avg_return,300000.0,721.3373681796036
136,xqc,dog-walk,2,avg_return,400000.0,845.2566803314205
137,xqc,dog-walk,2,avg_return,500000.0,878.9175109665684
138,xqc,dog-walk,2,avg_return,600000.0,904.198403001086
139,xqc,dog-walk,2,avg_return,700000.0,936.6690389941444
140,xqc,dog-walk,2,avg_return,800000.0,903.8229581172936
141,xqc,dog-walk,2,avg_return,900000.0,939.007394877998
142,xqc,dog-walk,2,avg_return,1000000.0,923.76496300012
143,xqc,dog-walk,3,avg_return,0.0,14.90359651465184
144,xqc,dog-walk,3,avg_return,100000.0,244.56214159379488
145,xqc,dog-walk,3,avg_return,200000.0,505.64620880596385
146,xqc,dog-walk,3,avg_return,300000.0,763.001823206216
147,xqc,dog-walk,3,avg_return,400000.0,894.4300310210754
148,xqc,dog-walk,3,avg_return,500000.0,919.9397732999132
149,xqc,dog-walk,3,avg_return,600000.0,924.0147370796408
150,xqc,dog-walk,3,avg_return,700000.0,943.575970123097
151,xqc,dog-walk,3,avg_return,800000.0,951.8629334892236
152,xqc,dog-walk,3,avg_return,900000.0,956.7734036319422
153,xqc,dog-walk,3,avg_return,1000000.0,919.0253145840218
154,xqc,dog-walk,4,avg_return,0.0,10.79695709704033
155,xqc,dog-walk,4,avg_return,100000.0,198.07203665775032
156,xqc,dog-walk,4,avg_return,200000.0,756.2680689975583
157,xqc,dog-walk,4,avg_return,300000.0,879.412614866496
158,xqc,dog-walk,4,avg_return,400000.0,922.3233561832974
159,xqc,dog-walk,4,avg_return,500000.0,931.5462202934616
160,xqc,dog-walk,4,avg_return,600000.0,931.0039958599232
161,xqc,dog-walk,4,avg_return,700000.0,944.0379918317516
162,xqc,dog-walk,4,avg_return,800000.0,949.6895143694312
163,xqc,dog-walk,4,avg_return,900000.0,925.5237976507422
164,xqc,dog-walk,4,avg_return,1000000.0,952.5577591773113
165,xqc,dog-walk,5,avg_return,0.0,5.291732939917114
166,xqc,dog-walk,5,avg_return,100000.0,144.43990815411104
167,xqc,dog-walk,5,avg_return,200000.0,505.4614268906025
168,xqc,dog-walk,5,avg_return,300000.0,849.9463294080084
169,xqc,dog-walk,5,avg_return,400000.0,886.4436489925617
170,xqc,dog-walk,5,avg_return,500000.0,906.2337203766558
171,xqc,dog-walk,5,avg_return,600000.0,892.739232999004
172,xqc,dog-walk,5,avg_return,700000.0,921.5520471627632
173,xqc,dog-walk,5,avg_return,800000.0,926.2038644596188
174,xqc,dog-walk,5,avg_return,900000.0,929.708493358444
175,xqc,dog-walk,5,avg_return,1000000.0,918.0716413650604
176,xqc,dog-walk,6,avg_return,0.0,7.412933192905095
177,xqc,dog-walk,6,avg_return,100000.0,234.1934414985595
178,xqc,dog-walk,6,avg_return,200000.0,529.4138578369505
179,xqc,dog-walk,6,avg_return,300000.0,857.7775561168477
180,xqc,dog-walk,6,avg_return,400000.0,888.0507272436855
181,xqc,dog-walk,6,avg_return,500000.0,891.5445424617232
182,xqc,dog-walk,6,avg_return,600000.0,928.2913873507534
183,xqc,dog-walk,6,avg_return,700000.0,922.3748430792532
184,xqc,dog-walk,6,avg_return,800000.0,938.5593735654912
185,xqc,dog-walk,6,avg_return,900000.0,948.2192610616496
186,xqc,dog-walk,6,avg_return,1000000.0,937.9902849443856
187,xqc,dog-walk,7,avg_return,0.0,8.182477707367765
188,xqc,dog-walk,7,avg_return,100000.0,200.90476165841497
189,xqc,dog-walk,7,avg_return,200000.0,492.644062613104
190,xqc,dog-walk,7,avg_return,300000.0,688.0415370338785
191,xqc,dog-walk,7,avg_return,400000.0,875.7000356929268
192,xqc,dog-walk,7,avg_return,500000.0,914.2989676177624
193,xqc,dog-walk,7,avg_return,600000.0,925.7252680776932
194,xqc,dog-walk,7,avg_return,700000.0,948.7709944226964
195,xqc,dog-walk,7,avg_return,800000.0,940.2362209708214
196,xqc,dog-walk,7,avg_return,900000.0,951.5421493552744
197,xqc,dog-walk,7,avg_return,1000000.0,947.6504489123066
198,xqc,dog-walk,8,avg_return,0.0,8.78518756828672
199,xqc,dog-walk,8,avg_return,100000.0,214.40184461998177
200,xqc,dog-walk,8,avg_return,200000.0,477.45078058906745
201,xqc,dog-walk,8,avg_return,300000.0,654.458497858951
202,xqc,dog-walk,8,avg_return,400000.0,818.3443109359869
203,xqc,dog-walk,8,avg_return,500000.0,882.1693219519115
204,xqc,dog-walk,8,avg_return,600000.0,937.5684580954552
205,xqc,dog-walk,8,avg_return,700000.0,919.4169119036068
